collision_index,collision_year,location_easting_osgr,location_northing_osgr,collision_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_highway_current,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,collision_injury_based,hour_of_day,month,is_weekend,time_period,multi_vehicle
201514K234615,2015,0.29943462897526274,1.0,3,0.5,1,2,E08000019,6,0,6,60,0,4,0,-1,0.0,1,1,1,0,0,2,1,2.0,0,15,9,0,1,0
201514K064815,2015,1.0,1.0,3,0.5,1,7,E08000019,3,61,3,30,16,4,5,0,0.0,1,1,1,0,0,1,2,2.0,0,14,3,1,1,0
201514K247615,2015,1.0,0.7154334038055055,3,0.5,1,6,E08000019,3,6102,1,40,0,4,4,6057,0.0,1,1,1,0,0,2,1,2.0,0,13,10,0,1,0
201514K189315,2015,1.0,1.0,3,0.5,1,7,E08000019,3,61,6,30,16,2,5,0,0.0,4,1,1,0,0,1,1,2.0,0,22,8,1,3,0
201514K084815,2015,1.0,1.0,3,0.5,1,2,E08000019,4,6073,6,30,16,4,6,0,0.0,1,1,1,0,0,1,2,2.0,0,9,4,0,0,0
201514K313815,2015,1.0,1.0,3,0.5,1,3,E08000019,4,6075,6,30,0,4,0,-1,0.0,7,9,1,0,0,1,2,2.0,0,20,12,0,2,0
201514K043115,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,6,20,0,4,0,-1,0.0,5,1,1,0,0,1,2,2.0,0,18,2,0,2,0
201514K177115,2015,1.0,1.0,3,0.5,1,5,E08000019,6,0,6,20,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,16,6,0,1,0
201514K240715,2015,1.0,1.0,3,0.5,1,6,E08000019,4,6200,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,8,10,0,0,0
201514K120615,2015,1.0,1.0,3,0.5,1,1,E08000019,3,57,6,30,13,4,6,0,14.0,1,1,1,0,0,1,1,2.0,0,11,5,1,0,0
